179,Arhitektura računara,4,1,3,0.00,9,1,Letnji,Primenjeno softversko inženjerstvo
180,Sociologija tehnike,2,0,0,0.00,3,1,Letnji,Primenjeno softversko inženjerstvo
181,Matematička analiza,4,4,0,0.00,6,1,Letnji,Primenjeno softversko inženjerstvo
182,Strani jezik 2 - izborni,2,0,0,0.00,3,1,Letnji,Primenjeno softversko inženjerstvo
183,Uvod u algoritme,4,0,3,1.00,9,1,Letnji,Primenjeno softversko inženjerstvo
184,Diskretna matematika,2,2,0,0.00,4,2,Zimski,Primenjeno softversko inženjerstvo
185,Osnovi elektroenergetike,3,3,0,0.00,6,2,Zimski,Primenjeno softversko inženjerstvo
186,Objektno orijentisano programiranje,4,0,3,1.00,8,2,Zimski,Primenjeno softversko inženjerstvo
187,Primenjeni algoritmi,3,0,2,1.00,6,2,Zimski,Primenjeno softversko inženjerstvo
188,Izborni predmet 1,3,0-1,2-3,0.00,6,2,Zimski,Primenjeno softversko inženjerstvo
189,Operativni sistemi,4,1,3,0.00,8,2,Letnji,Primenjeno softversko inženjerstvo
190,Izborni predmet 2,4,0,4,0.00,8,2,Letnji,Primenjeno softversko inženjerstvo
191,Sistemi za transport i distribuciju fluida,2,2,0,0.00,5,2,Letnji,Primenjeno softversko inženjerstvo
192,Objektno orijentisane tehnologije,3,0,2,1.00,5,2,Letnji,Primenjeno softversko inženjerstvo
193,Izborni predmet 3,2,2,0,0.00,4,2,Letnji,Primenjeno softversko inženjerstvo
194,Programski prevodioci,2,0,2,0.00,4,3,Zimski,Primenjeno softversko inženjerstvo
195,Uvod u baze podataka,4,1,3,0.00,8,3,Zimski,Primenjeno softversko inženjerstvo
196,Modeliranje i simulacija sistema,4,2,2,0.00,8,3,Zimski,Primenjeno softversko inženjerstvo
197,Elementi razvoja softvera,2,0,1,1.00,4,3,Zimski,Primenjeno softversko inženjerstvo
198,Primena računarskih mreža u infrastrukturnim sistemima,3,0,2,1.00,6,3,Zimski,Primenjeno softversko inženjerstvo
199,Osnove distribuiranog programiranja,3,0,2,1.00,6,3,Letnji,Primenjeno softversko inženjerstvo
200,Akviziciono upravljački sistemi,3,0,2,1.00,6,3,Letnji,Primenjeno softversko inženjerstvo
201,Virtuelizacija procesa,3,0,3,0.00,6,3,Letnji,Primenjeno softversko inženjerstvo
202,Veb programiranje u infrastrukturnim sistemima,3,0,3,0.00,6,3,Letnji,Primenjeno softversko inženjerstvo
203,Inženjerstvo upotrebljivosti u infrastrukturnim sistemima,3,0,2,1.00,6,3,Letnji,Primenjeno softversko inženjerstvo
204,Izborni predmet 4,12,0-6,6-12,0.00,24,4,Zimski,Primenjeno softversko inženjerstvo
205,Stručna praksa,0,0,0,6.00,6,4,Zimski,Primenjeno softversko inženjerstvo
206,Izborni predmet 8,9,0,9,0.00,18,4,Letnji,Primenjeno softversko inženjerstvo
207,Projekat,1,2,0,0.00,4,4,Letnji,Primenjeno softversko inženjerstvo
208,Diplomski rad - istraživački rad,0,0,0,0.00,4,4,Letnji,Primenjeno softversko inženjerstvo
209,Diplomski rad - izrada i odbrana,0,0,0,4.00,4,4,Letnji,Primenjeno softversko inženjerstvo
